"m","ej","lp","wp","sp","ll","wl","hl","wlDll","wpDwl","wpDlp","lpDll","spDwp","wlDhl","num","nci","cul","med","ret","max","mic"
"a1",2,1.147,0.186,0.131,9.25,3.651,5.494,0.395,0.051,0.162,0.124,0.704,0.665,"31","Citrus × aurantium L. var. tachibana Makino (= C. × deliciosa Ten. = Citrus reticulata × (C. maxima × C. reticulata))","Clementino",0,1,1,0
"a1",1,0.796,0.23,0.158,13.466,6.072,8.677,0.451,0.038,0.289,0.059,0.687,0.7,"31","Citrus × aurantium L. var. tachibana Makino (= C. × deliciosa Ten. = Citrus reticulata × (C. maxima × C. reticulata))","Clementino",0,1,1,0
"a1",3,1.454,0.235,0.132,11.905,4.858,6.581,0.408,0.048,0.162,0.122,0.562,0.738,"31","Citrus × aurantium L. var. tachibana Makino (= C. × deliciosa Ten. = Citrus reticulata × (C. maxima × C. reticulata))","Clementino",0,1,1,0
"a2",1,0.793,0.223,0.161,11.026,5.47,7.588,0.496,0.041,0.281,0.072,0.722,0.721,"33","Citrus × tangor Tanaka (= C. reticulata Blanco subsp. reticulata × C. ×  aurantium L. var. sinensis (L.) Osbeck)","Ellendale",0,1,1,0
"a2",4,0.6,0.157,0.09,5.941,3.2,3.425,0.539,0.049,0.262,0.101,0.573,0.934,"33","Citrus × tangor Tanaka (= C. reticulata Blanco subsp. reticulata × C. ×  aurantium L. var. sinensis (L.) Osbeck)","Ellendale",0,1,1,0
"a2",5,0.734,0.173,0.142,10.894,5.2,7.503,0.477,0.033,0.236,0.067,0.821,0.693,"33","Citrus × tangor Tanaka (= C. reticulata Blanco subsp. reticulata × C. ×  aurantium L. var. sinensis (L.) Osbeck)","Ellendale",0,1,1,0
"a3",1,4.915,2.757,0.148,6.135,3.584,3.647,0.584,0.769,0.561,0.801,0.054,0.983,"116"," Citrus hystrix DC. (C. micrantha Wester) "," Papeda di Maurizio, Lima Kafir",0,0,0,1
"a3",2,3.18,1.398,0.128,5.674,2.872,3.306,0.506,0.487,0.44,0.56,0.092,0.869,"116"," Citrus hystrix DC. (C. micrantha Wester) "," Papeda di Maurizio, Lima Kafir",0,0,0,1
"a3",3,3.003,1.454,0.112,3.23,1.866,1.754,0.578,0.779,0.484,0.93,0.077,1.064,"116"," Citrus hystrix DC. (C. micrantha Wester) "," Papeda di Maurizio, Lima Kafir",0,0,0,1
"a4",3,1.022,0.189,0.123,8.756,3.859,5.24,0.441,0.049,0.185,0.117,0.651,0.736,"45","Citrus × aurantium L. var. tachibana Makino (= C. × deliciosa Ten. = Citrus reticulata × (C. maxima × C. reticulata))","Orogrande",0,1,1,0
"a4",6,0.633,0.124,0.081,4.998,1.489,2.738,0.298,0.083,0.196,0.127,0.653,0.544,"45","Citrus × aurantium L. var. tachibana Makino (= C. × deliciosa Ten. = Citrus reticulata × (C. maxima × C. reticulata))","Orogrande",0,1,1,0
"a4",2,0.81,0.127,0.103,7.557,2.536,3.915,0.336,0.05,0.157,0.107,0.811,0.648,"45","Citrus × aurantium L. var. tachibana Makino (= C. × deliciosa Ten. = Citrus reticulata × (C. maxima × C. reticulata))","Orogrande",0,1,1,0
"b1",2,0.631,0.113,0.064,5.004,1.968,5.004,0.393,0.057,0.179,0.126,0.566,0.393,"112","Citrus × aurantium L. var. tachibana Makino (= C. × deliciosa Ten. = Citrus reticulata × (C. maxima × C. reticulata)) ","Avana apireno nucellare ",0,1,1,0
"b1",4,0.554,0.113,0.075,4.776,2.276,2.271,0.477,0.05,0.204,0.116,0.664,1.002,"112","Citrus × aurantium L. var. tachibana Makino (= C. × deliciosa Ten. = Citrus reticulata × (C. maxima × C. reticulata)) ","Avana apireno nucellare ",0,1,1,0
"b1",5,1.13,0.121,0.08,6.1,2.484,6.1,0.407,0.049,0.107,0.185,0.661,0.407,"112","Citrus × aurantium L. var. tachibana Makino (= C. × deliciosa Ten. = Citrus reticulata × (C. maxima × C. reticulata)) ","Avana apireno nucellare ",0,1,1,0
"b2",2,0.671,0.123,0.106,6.394,2.605,3.591,0.407,0.047,0.183,0.105,0.862,0.725,"118","Citrus × aurantium L. var. tachibana Makino (= C. × deliciosa Ten. = Citrus reticulata × (C. maxima × C. reticulata))","""Tachibana""",0,1,1,0
"b2",3,0.849,0.148,0.095,5.866,2.794,3.439,0.476,0.053,0.174,0.145,0.642,0.812,"118","Citrus × aurantium L. var. tachibana Makino (= C. × deliciosa Ten. = Citrus reticulata × (C. maxima × C. reticulata))","""Tachibana""",0,1,1,0
"b2",5,0.755,0.162,0.115,6.051,2.791,3.629,0.461,0.058,0.215,0.125,0.71,0.769,"118","Citrus × aurantium L. var. tachibana Makino (= C. × deliciosa Ten. = Citrus reticulata × (C. maxima × C. reticulata))","""Tachibana""",0,1,1,0
"b3",2,0.595,0.133,0.115,5.746,3.076,2.96,0.535,0.043,0.224,0.104,0.865,1.039,"40","Citrus × depressa Hayata (= Citrus reticulata × ( C. maxima x (C. medica × C. cavaleriei)))","Shekwasa",1,1,1,0
"b3",5,0.603,0.134,0.118,6.262,2.806,3.751,0.448,0.048,0.222,0.096,0.881,0.748,"40","Citrus × depressa Hayata (= Citrus reticulata × ( C. maxima x (C. medica × C. cavaleriei)))","Shekwasa",1,1,1,0
"b3",6,0.961,0.143,0.131,7.747,4.376,4.011,0.565,0.033,0.149,0.124,0.916,1.091,"40","Citrus × depressa Hayata (= Citrus reticulata × ( C. maxima x (C. medica × C. cavaleriei)))","Shekwasa",1,1,1,0
"b4",2,0.708,0.141,0.107,7.094,3.881,3.834,0.547,0.036,0.199,0.1,0.759,1.012,"40","Citrus × depressa Hayata (= Citrus reticulata × ( C. maxima x (C. medica × C. cavaleriei)))","Shekwasa",1,1,1,0
"b4",3,0.995,0.172,0.115,7.774,4.566,4.29,0.587,0.038,0.173,0.128,0.669,1.064,"40","Citrus × depressa Hayata (= Citrus reticulata × ( C. maxima x (C. medica × C. cavaleriei)))","Shekwasa",1,1,1,0
"b4",6,0.738,0.151,0.092,7.154,3.881,3.492,0.542,0.039,0.205,0.103,0.609,1.111,"40","Citrus × depressa Hayata (= Citrus reticulata × ( C. maxima x (C. medica × C. cavaleriei)))","Shekwasa",1,1,1,0
"c1",5,0.697,0.12,0.085,5.896,1.927,3.547,0.327,0.062,0.172,0.118,0.708,0.543,"30","Citrus × aurantium L. var. tachibana Makino (= C. × deliciosa Ten. = Citrus reticulata × (C. maxima × C. reticulata))","Mandarino",0,1,1,0
"c1",6,0.554,0.121,0.093,8.601,2.732,4.775,0.318,0.044,0.218,0.064,0.769,0.572,"30","Citrus × aurantium L. var. tachibana Makino (= C. × deliciosa Ten. = Citrus reticulata × (C. maxima × C. reticulata))","Mandarino",0,1,1,0
"c1",4,0.903,0.169,0.117,10.041,3.403,5.664,0.339,0.05,0.187,0.09,0.692,0.601,"30","Citrus × aurantium L. var. tachibana Makino (= C. × deliciosa Ten. = Citrus reticulata × (C. maxima × C. reticulata))","Mandarino",0,1,1,0
"c2",1,1.075,0.192,0.128,10.348,3.65,6.416,0.353,0.053,0.179,0.104,0.667,0.569,"119","Citrus × aurantium L. var. tachibana Makino (= C. × deliciosa Ten. = Citrus reticulata × (C. maxima × C. reticulata)) ","C. clementina ""Ragheb""",0,1,1,0
"c2",3,0.874,0.149,0.088,5.418,2.351,3.415,0.434,0.063,0.17,0.161,0.591,0.688,"119","Citrus × aurantium L. var. tachibana Makino (= C. × deliciosa Ten. = Citrus reticulata × (C. maxima × C. reticulata)) ","C. clementina ""Ragheb""",0,1,1,0
"c2",4,1.139,0.189,0.122,9.399,3.691,5.715,0.393,0.051,0.166,0.121,0.646,0.646,"119","Citrus × aurantium L. var. tachibana Makino (= C. × deliciosa Ten. = Citrus reticulata × (C. maxima × C. reticulata)) ","C. clementina ""Ragheb""",0,1,1,0
"c3",1,0.736,0.16,0.13,5.726,3.559,2.621,0.622,0.045,0.217,0.129,0.813,1.358,"40","Citrus × depressa Hayata (= Citrus reticulata × ( C. maxima x (C. medica × C. cavaleriei)))","Shekwasa",1,1,1,0
"c3",2,0.841,0.17,0.119,8.931,4.436,5.015,0.497,0.038,0.202,0.094,0.7,0.885,"40","Citrus × depressa Hayata (= Citrus reticulata × ( C. maxima x (C. medica × C. cavaleriei)))","Shekwasa",1,1,1,0
"c3",6,0.76,0.168,0.122,8.185,3.869,4.439,0.473,0.043,0.221,0.093,0.726,0.872,"40","Citrus × depressa Hayata (= Citrus reticulata × ( C. maxima x (C. medica × C. cavaleriei)))","Shekwasa",1,1,1,0
"c4",6,0.902,0.163,0.115,7.502,4.22,4.324,0.563,0.039,0.181,0.12,0.706,0.976,"44","Citrus × aurantium L. var. tachibana Makino (= C. × deliciosa Ten. = Citrus reticulata × (C. maxima × C. reticulata))","Clemenules",0,1,1,0
"c4",3,0.946,0.191,0.154,8.89,4.725,4.717,0.531,0.04,0.202,0.106,0.806,1.002,"44","Citrus × aurantium L. var. tachibana Makino (= C. × deliciosa Ten. = Citrus reticulata × (C. maxima × C. reticulata))","Clemenules",0,1,1,0
"c4",2,0.59,0.13,0.089,5.534,2.644,2.797,0.478,0.049,0.22,0.107,0.685,0.945,"44","Citrus × aurantium L. var. tachibana Makino (= C. × deliciosa Ten. = Citrus reticulata × (C. maxima × C. reticulata))","Clemenules",0,1,1,0
"d1",2,0.665,0.132,0.11,7.81,3.104,4.377,0.397,0.043,0.198,0.085,0.833,0.709,"30","Citrus × aurantium L. var. tachibana Makino (= C. × deliciosa Ten. = Citrus reticulata × (C. maxima × C. reticulata))","Mandarino",0,1,1,0
"d1",3,0.721,0.129,0.102,8.026,2.938,4.274,0.366,0.044,0.179,0.09,0.791,0.687,"30","Citrus × aurantium L. var. tachibana Makino (= C. × deliciosa Ten. = Citrus reticulata × (C. maxima × C. reticulata))","Mandarino",0,1,1,0
"d1",5,0.637,0.119,0.089,7.227,2.747,4.158,0.38,0.043,0.187,0.088,0.748,0.661,"30","Citrus × aurantium L. var. tachibana Makino (= C. × deliciosa Ten. = Citrus reticulata × (C. maxima × C. reticulata))","Mandarino",0,1,1,0
"d2",1,0.626,0.144,0.123,8.505,3.154,4.365,0.371,0.046,0.23,0.074,0.854,0.723,"31","Citrus × aurantium L. var. tachibana Makino (= C. × deliciosa Ten. = Citrus reticulata × (C. maxima × C. reticulata))","Clementino",0,1,1,0
"d2",3,0.636,0.127,0.09,7.81,2.751,4.107,0.352,0.046,0.2,0.081,0.709,0.67,"31","Citrus × aurantium L. var. tachibana Makino (= C. × deliciosa Ten. = Citrus reticulata × (C. maxima × C. reticulata))","Clementino",0,1,1,0
"d2",5,0.983,0.172,0.127,8.701,3.26,4.953,0.375,0.053,0.175,0.113,0.738,0.658,"31","Citrus × aurantium L. var. tachibana Makino (= C. × deliciosa Ten. = Citrus reticulata × (C. maxima × C. reticulata))","Clementino",0,1,1,0
